"fold","n_test","auc","sensitivity","specificity"
1,874,0.681981640338948,0.579113924050633,0.723140495867769
2,874,0.672797283241374,0.491551459293395,0.771300448430493
3,873,0.715746378037093,0.560121765601218,0.759259259259259
4,873,0.65293136797172,0.376175548589342,0.863829787234043
5,874,0.649871193139711,0.590288315629742,0.646511627906977
6,873,0.670163081413795,0.576051779935275,0.682352941176471
7,873,0.698029292232191,0.600644122383253,0.718253968253968
8,874,0.665213255113366,0.632075471698113,0.663865546218487
9,873,0.697925474942218,0.558599695585997,0.740740740740741
10,874,0.707082849720887,0.657975460122699,0.671171171171171
